id_subsistena;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
N;NORTE;2023-01-01 18:00:00;11124.70019531;887.51202392;63.26599884;0E-8;6032.59700000;6042.88099999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 18:00:00;49766.20500000;5570.85400000;9432.13300000;105.73400000;64874.93000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 18:00:00;29697.39843750;3938.93798828;7.00000000;83.59600067;36098.15799999;-2371.22499999
S;SUL;2023-01-01 18:00:00;3814.03393554;77.37500000;1409.19299316;1.00000000;11388.13299999;-6086.53100000
NE;NORDESTE;2023-01-01 19:00:00;5387.61279296;663.93402099;9569.03613281;1.29200005;11701.77699999;3920.09800000
N;NORTE;2023-01-01 19:00:00;11750.64062500;891.01202392;6.84700012;0E-8;6323.39600000;6325.10400000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 19:00:00;53112.43200000;5555.56600000;11089.76900000;21.37600000;69779.14000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 19:00:00;29951.10546875;3926.22802734;7.00000000;19.08399963;39335.64200000;-5432.22499999
S;SUL;2023-01-01 19:00:00;6023.07324218;74.39199829;1506.88598632;1.00000000;12418.32799999;-4812.97700000
NE;NORDESTE;2023-01-01 20:00:00;5244.60302734;661.20898437;10212.70507812;1.32899999;11711.84600000;4408.00000000
N;NORTE;2023-01-01 20:00:00;11390.91796875;888.15600585;86.32299804;0E-8;6377.18700000;5988.21000000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 20:00:00;53892.69400000;5546.75000000;11754.80400000;20.86900000;71215.12000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 20:00:00;29880.98437500;3922.12011718;7.00000000;18.54000091;39796.14799999;-5967.50300000
S;SUL;2023-01-01 20:00:00;7376.18798828;75.26499938;1448.77600097;1.00000000;13329.93600000;-4428.70700000
NE;NORDESTE;2023-01-01 21:00:00;5189.65478515;675.89398193;10517.91113281;1.69000005;11837.52499999;4547.62500000
N;NORTE;2023-01-01 21:00:00;10956.39746093;891.40899658;246.60800170;0E-8;6441.68699999;5652.72700000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 21:00:00;53114.63400000;5573.86500000;12101.75500000;21.27400000;70811.53000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 21:00:00;29448.79492187;3932.04492187;7.00000000;18.58399963;39196.84800000;-5790.42400000
S;SUL;2023-01-01 21:00:00;7519.78710937;74.51699829;1330.23596191;1.00000000;13335.46799999;-4409.92800000
NE;NORDESTE;2023-01-01 22:00:00;5183.46777343;679.18200683;11193.47070312;1.34899997;11822.37599999;5235.09400000
N;NORTE;2023-01-01 22:00:00;9540.36035156;889.62597656;282.81298828;0E-8;6475.30799999;4237.49100000
